,FI
geo_level_2_id_244,27
geo_level_2_id_274,27
geo_level_2_id_66,27
geo_level_2_id_898,27
geo_level_2_id_1011,27
geo_level_2_id_311,27
geo_level_2_id_639,27
geo_level_2_id_1137,27
geo_level_2_id_1414,26
geo_level_2_id_972,26
geo_level_2_id_1004,26
geo_level_2_id_474,26
geo_level_2_id_308,26
geo_level_2_id_1393,26
geo_level_2_id_1378,26
geo_level_2_id_943,26
geo_level_2_id_902,26
geo_level_2_id_1327,26
geo_level_2_id_1196,26
geo_level_2_id_859,26
geo_level_2_id_1309,26
geo_level_2_id_663,26
geo_level_2_id_812,26
geo_level_2_id_804,26
geo_level_2_id_1228,26
geo_level_2_id_98,26
geo_level_2_id_873,26
geo_level_2_id_31,26
geo_level_2_id_336,26
geo_level_2_id_1091,26
geo_level_2_id_48,26
geo_level_2_id_1097,26
geo_level_2_id_1076,26
geo_level_2_id_708,25
geo_level_2_id_591,25
geo_level_2_id_974,25
geo_level_2_id_596,25
geo_level_2_id_198,25
geo_level_2_id_1221,25
geo_level_2_id_611,25
geo_level_2_id_1328,25
geo_level_2_id_72,25
geo_level_2_id_418,25
geo_level_2_id_626,25
geo_level_2_id_1418,25
geo_level_2_id_825,25
geo_level_2_id_221,25
geo_level_2_id_1241,25
geo_level_2_id_258,25
geo_level_2_id_38,24
geo_level_2_id_236,24
geo_level_2_id_805,24
geo_level_2_id_1138,24
geo_level_2_id_1279,24
geo_level_2_id_225,24
geo_level_2_id_706,24
geo_level_2_id_1062,24
geo_level_2_id_760,24
geo_level_2_id_1234,24
geo_level_2_id_203,24
geo_level_2_id_1300,24
geo_level_2_id_111,24
geo_level_2_id_284,24
geo_level_2_id_547,23
geo_level_2_id_658,23
geo_level_2_id_580,23
geo_level_2_id_109,23
geo_level_2_id_1224,23
geo_level_2_id_90,23
geo_level_2_id_957,23
geo_level_2_id_384,23
geo_level_2_id_1053,23
geo_level_2_id_398,23
geo_level_2_id_212,23
geo_level_2_id_649,23
geo_level_2_id_741,23
geo_level_2_id_534,22
geo_level_2_id_282,22
geo_level_2_id_830,22
geo_level_2_id_217,22
geo_level_2_id_219,22
geo_level_2_id_218,22
geo_level_2_id_895,22
geo_level_2_id_1342,22
geo_level_2_id_65,22
geo_level_2_id_1212,22
geo_level_2_id_987,22
geo_level_2_id_57,21
geo_level_2_id_675,21
geo_level_2_id_1014,21
geo_level_2_id_827,21
geo_level_2_id_749,21
geo_level_2_id_980,21
geo_level_2_id_942,21
geo_level_2_id_503,21
geo_level_2_id_1101,21
geo_level_2_id_1135,21
geo_level_2_id_1008,21
geo_level_2_id_1410,20
geo_level_2_id_238,20
geo_level_2_id_213,20
geo_level_2_id_726,20
geo_level_2_id_1083,20
geo_level_2_id_568,20
geo_level_2_id_40,20
geo_level_2_id_134,20
geo_level_2_id_256,20
geo_level_2_id_1422,20
geo_level_2_id_1068,20
geo_level_2_id_239,20
geo_level_2_id_1065,20
geo_level_2_id_600,20
geo_level_2_id_808,20
geo_level_2_id_1038,20
geo_level_2_id_1159,20
geo_level_2_id_744,20
geo_level_2_id_1144,20
geo_level_2_id_13,20
geo_level_2_id_148,20
geo_level_2_id_484,19
geo_level_2_id_459,19
geo_level_2_id_122,19
geo_level_2_id_567,19
geo_level_2_id_767,19
geo_level_2_id_1090,19
geo_level_2_id_855,19
geo_level_2_id_1170,19
geo_level_2_id_979,19
geo_level_2_id_1372,19
geo_level_2_id_1388,19
geo_level_2_id_944,19
geo_level_2_id_770,19
geo_level_2_id_240,19
geo_level_2_id_892,19
geo_level_2_id_206,19
geo_level_2_id_455,19
geo_level_2_id_904,18
geo_level_2_id_1273,18
geo_level_2_id_900,18
geo_level_2_id_492,18
geo_level_2_id_1305,18
geo_level_2_id_778,18
geo_level_2_id_918,18
geo_level_2_id_29,18
geo_level_2_id_338,18
geo_level_2_id_945,18
geo_level_2_id_1056,18
geo_level_2_id_334,18
geo_level_2_id_506,18
geo_level_2_id_141,18
geo_level_2_id_71,18
geo_level_2_id_553,18
geo_level_2_id_314,18
geo_level_2_id_397,18
geo_level_2_id_569,18
geo_level_2_id_1406,18
geo_level_2_id_27,17
geo_level_2_id_129,17
geo_level_2_id_1335,17
geo_level_2_id_1147,17
geo_level_2_id_342,17
geo_level_2_id_429,17
geo_level_2_id_1168,17
geo_level_2_id_597,17
geo_level_2_id_1131,17
geo_level_2_id_374,17
geo_level_2_id_322,17
geo_level_2_id_1285,17
geo_level_2_id_267,17
geo_level_2_id_83,17
geo_level_2_id_1018,17
geo_level_2_id_1,16
geo_level_2_id_676,16
geo_level_2_id_629,16
geo_level_2_id_327,16
geo_level_2_id_1046,16
geo_level_2_id_450,16
geo_level_2_id_1190,16
geo_level_2_id_586,16
geo_level_2_id_527,16
geo_level_2_id_581,16
geo_level_2_id_305,16
geo_level_2_id_704,16
geo_level_2_id_881,16
geo_level_2_id_526,16
geo_level_2_id_497,16
geo_level_2_id_371,16
geo_level_2_id_424,16
geo_level_2_id_582,16
geo_level_2_id_960,16
geo_level_2_id_1087,16
geo_level_2_id_1149,16
geo_level_2_id_1233,16
geo_level_2_id_289,15
geo_level_2_id_1205,15
geo_level_2_id_1258,15
geo_level_2_id_1089,15
geo_level_2_id_41,15
geo_level_2_id_561,15
geo_level_2_id_1209,15
geo_level_2_id_52,15
geo_level_2_id_99,15
geo_level_2_id_727,15
geo_level_2_id_1306,15
geo_level_2_id_523,15
geo_level_2_id_659,15
geo_level_2_id_773,15
geo_level_2_id_677,15
geo_level_2_id_326,15
geo_level_2_id_96,15
geo_level_2_id_1176,15
geo_level_2_id_172,15
geo_level_2_id_1029,14
geo_level_2_id_1374,14
geo_level_2_id_1022,14
geo_level_2_id_929,14
geo_level_2_id_187,14
geo_level_2_id_266,14
geo_level_2_id_1275,14
geo_level_2_id_1015,14
geo_level_2_id_1248,14
geo_level_2_id_1113,14
geo_level_2_id_1126,14
geo_level_2_id_123,14
geo_level_2_id_1283,14
geo_level_2_id_378,14
geo_level_2_id_782,13
geo_level_2_id_155,13
plan_configuration_o,13
geo_level_2_id_1247,13
geo_level_2_id_452,13
geo_level_2_id_324,13
geo_level_2_id_850,13
geo_level_2_id_489,13
geo_level_2_id_300,13
geo_level_2_id_949,13
geo_level_2_id_400,13
geo_level_2_id_126,13
geo_level_2_id_1343,13
geo_level_2_id_345,13
geo_level_2_id_1121,13
geo_level_2_id_667,12
geo_level_2_id_1386,12
geo_level_2_id_339,12
geo_level_2_id_177,12
geo_level_2_id_652,12
geo_level_2_id_119,12
geo_level_2_id_969,12
geo_level_2_id_364,12
geo_level_2_id_161,12
geo_level_2_id_514,12
geo_level_2_id_407,12
geo_level_2_id_412,12
geo_level_2_id_1385,12
geo_level_2_id_647,12
geo_level_2_id_910,11
geo_level_2_id_790,11
geo_level_2_id_102,11
geo_level_2_id_521,11
geo_level_2_id_1366,11
geo_level_2_id_1019,11
geo_level_2_id_1033,11
geo_level_2_id_110,11
geo_level_2_id_867,11
geo_level_2_id_636,11
geo_level_2_id_349,11
geo_level_2_id_984,11
geo_level_2_id_145,11
geo_level_2_id_1295,11
geo_level_2_id_20,10
geo_level_2_id_544,10
geo_level_2_id_69,10
geo_level_2_id_1417,10
geo_level_2_id_985,10
geo_level_2_id_321,10
geo_level_2_id_1403,10
geo_level_2_id_481,10
geo_level_2_id_732,10
geo_level_2_id_1399,10
geo_level_2_id_389,10
geo_level_2_id_884,10
geo_level_2_id_1102,10
geo_level_2_id_1104,10
geo_level_2_id_1298,10
geo_level_2_id_1235,10
geo_level_2_id_1051,10
geo_level_2_id_1194,10
geo_level_2_id_685,10
geo_level_2_id_1293,9
geo_level_2_id_755,9
geo_level_2_id_1324,9
geo_level_2_id_879,9
geo_level_2_id_296,9
geo_level_2_id_420,9
geo_level_2_id_700,9
geo_level_2_id_1160,9
geo_level_2_id_928,9
geo_level_2_id_1255,9
geo_level_2_id_923,9
geo_level_2_id_1039,9
geo_level_2_id_263,9
geo_level_2_id_1262,8
geo_level_2_id_475,8
geo_level_2_id_1071,8
geo_level_2_id_1002,8
geo_level_2_id_37,8
geo_level_2_id_813,8
geo_level_2_id_588,8
geo_level_2_id_699,8
geo_level_2_id_162,8
geo_level_2_id_408,8
geo_level_2_id_1183,8
geo_level_2_id_1133,7
geo_level_2_id_802,7
geo_level_2_id_226,7
geo_level_2_id_956,7
geo_level_2_id_842,7
geo_level_2_id_933,7
geo_level_2_id_259,7
geo_level_2_id_1317,7
geo_level_2_id_584,7
geo_level_2_id_466,7
geo_level_2_id_1416,7
geo_level_2_id_23,7
geo_level_2_id_625,7
geo_level_2_id_689,6
geo_level_2_id_565,6
geo_level_2_id_851,6
geo_level_2_id_535,6
geo_level_2_id_1079,6
geo_level_2_id_280,6
has_secondary_use_school,6
geo_level_2_id_94,6
geo_level_2_id_451,6
geo_level_2_id_449,6
geo_level_2_id_368,6
geo_level_2_id_26,6
geo_level_2_id_1326,6
geo_level_2_id_907,6
geo_level_2_id_583,6
geo_level_2_id_51,6
geo_level_2_id_837,6
geo_level_2_id_7,6
geo_level_2_id_1313,6
geo_level_2_id_1099,6
geo_level_2_id_797,6
geo_level_2_id_876,5
geo_level_2_id_959,5
geo_level_2_id_89,5
geo_level_2_id_697,5
geo_level_2_id_994,5
geo_level_2_id_1269,5
geo_level_2_id_380,5
geo_level_2_id_382,5
geo_level_2_id_1117,5
geo_level_2_id_443,5
geo_level_2_id_766,5
geo_level_2_id_963,4
geo_level_2_id_42,4
geo_level_2_id_682,4
geo_level_2_id_394,4
geo_level_2_id_1345,4
geo_level_2_id_1036,4
geo_level_2_id_139,4
geo_level_2_id_1280,4
geo_level_2_id_1146,4
geo_level_2_id_680,4
geo_level_2_id_193,4
geo_level_2_id_124,4
geo_level_2_id_167,4
geo_level_2_id_846,4
geo_level_2_id_997,4
geo_level_2_id_1193,4
geo_level_2_id_1198,3
geo_level_2_id_864,3
geo_level_2_id_246,3
geo_level_2_id_536,3
geo_level_2_id_1185,3
geo_level_2_id_118,3
geo_level_2_id_208,3
geo_level_2_id_120,3
geo_level_2_id_1164,3
geo_level_2_id_1381,3
geo_level_2_id_58,3
geo_level_2_id_454,3
geo_level_2_id_1111,3
geo_level_2_id_1047,3
geo_level_2_id_1092,3
geo_level_2_id_643,3
geo_level_2_id_1352,3
geo_level_2_id_232,3
geo_level_2_id_715,3
geo_level_2_id_681,3
geo_level_2_id_1274,3
geo_level_2_id_1103,2
geo_level_2_id_1318,2
geo_level_2_id_1150,2
geo_level_2_id_709,2
geo_level_2_id_479,2
geo_level_2_id_1045,2
geo_level_2_id_1390,2
geo_level_2_id_353,2
geo_level_2_id_426,2
geo_level_2_id_890,2
geo_level_2_id_718,2
geo_level_2_id_1119,2
geo_level_2_id_691,2
geo_level_2_id_587,2
geo_level_2_id_791,2
geo_level_2_id_849,2
geo_level_2_id_446,2
geo_level_2_id_511,2
geo_level_2_id_1139,2
geo_level_2_id_513,2
geo_level_2_id_1380,2
geo_level_2_id_648,2
geo_level_2_id_415,1
geo_level_2_id_419,1
geo_level_2_id_549,1
geo_level_2_id_897,1
geo_level_2_id_34,1
geo_level_2_id_1226,1
geo_level_2_id_1063,1
geo_level_2_id_1044,1
geo_level_2_id_817,1
geo_level_2_id_50,1
geo_level_2_id_654,1
geo_level_2_id_801,1
geo_level_2_id_343,1
geo_level_2_id_292,1
geo_level_2_id_93,1
geo_level_2_id_834,1
geo_level_2_id_1107,1
geo_level_2_id_537,1
geo_level_2_id_1024,1
geo_level_2_id_335,1
geo_level_2_id_672,1
geo_level_2_id_1338,1
geo_level_2_id_1148,1
geo_level_2_id_752,1
geo_level_2_id_973,1
geo_level_2_id_965,1
geo_level_2_id_103,1
geo_level_2_id_714,1
geo_level_2_id_856,1
geo_level_2_id_858,1
geo_level_2_id_1122,1
geo_level_2_id_1392,0
geo_level_2_id_1412,0
geo_level_2_id_19,0
geo_level_2_id_1413,0
geo_level_2_id_56,0
geo_level_2_id_1391,0
geo_level_2_id_1272,0
geo_level_2_id_1242,0
geo_level_2_id_149,0
geo_level_2_id_1271,0
geo_level_2_id_1419,0
geo_level_2_id_1118,0
geo_level_2_id_1408,0
geo_level_2_id_101,0
geo_level_2_id_59,0
geo_level_2_id_61,0
geo_level_2_id_1130,0
geo_level_2_id_1129,0
geo_level_2_id_62,0
geo_level_2_id_1400,0
geo_level_2_id_60,0
geo_level_2_id_1396,0
geo_level_2_id_135,0
geo_level_2_id_1404,0
geo_level_2_id_1120,0
geo_level_2_id_1244,0
geo_level_2_id_1395,0
geo_level_2_id_1125,0
geo_level_2_id_1124,0
geo_level_2_id_1123,0
geo_level_2_id_1409,0
geo_level_2_id_17,0
geo_level_2_id_1239,0
geo_level_2_id_1405,0
geo_level_2_id_112,0
geo_level_2_id_1116,0
geo_level_2_id_1252,0
geo_level_2_id_1100,0
geo_level_2_id_0,0
geo_level_2_id_1249,0
geo_level_2_id_1098,0
geo_level_2_id_100,0
geo_level_2_id_1261,0
geo_level_2_id_1096,0
has_secondary_use_use_police,0
geo_level_2_id_35,0
geo_level_2_id_1260,0
geo_level_2_id_146,0
has_secondary_use_gov_office,0
geo_level_2_id_3,0
plan_configuration_f,0
plan_configuration_m,0
plan_configuration_n,0
has_secondary_use_health_post,0
geo_level_2_id_33,0
geo_level_2_id_97,0
geo_level_2_id_1086,0
geo_level_2_id_1257,0
geo_level_2_id_32,0
geo_level_2_id_1084,0
geo_level_2_id_1256,0
geo_level_2_id_43,0
geo_level_2_id_44,0
geo_level_2_id_1245,0
geo_level_2_id_15,0
geo_level_2_id_1420,0
geo_level_2_id_1270,0
geo_level_2_id_137,0
geo_level_2_id_54,0
geo_level_2_id_1423,0
geo_level_2_id_1424,0
geo_level_2_id_1246,0
geo_level_2_id_53,0
geo_level_2_id_1427,0
geo_level_2_id_133,0
geo_level_2_id_1268,0
geo_level_2_id_1109,0
geo_level_2_id_45,0
geo_level_2_id_1267,0
geo_level_2_id_12,0
geo_level_2_id_143,0
geo_level_2_id_1266,0
geo_level_2_id_1105,0
geo_level_2_id_47,0
geo_level_2_id_8,0
geo_level_2_id_1264,0
geo_level_2_id_6,0
geo_level_2_id_5,0
geo_level_2_id_1263,0
geo_level_2_id_16,0
geo_level_2_id_1375,0
geo_level_2_id_63,0
geo_level_2_id_1187,0
geo_level_2_id_1321,0
geo_level_2_id_1323,0
geo_level_2_id_1325,0
geo_level_2_id_1220,0
geo_level_2_id_1288,0
geo_level_2_id_1192,0
geo_level_2_id_1286,0
geo_level_2_id_1191,0
geo_level_2_id_1329,0
geo_level_2_id_1189,0
geo_level_2_id_1330,0
geo_level_2_id_1331,0
geo_level_2_id_1319,0
geo_level_2_id_116,0
geo_level_2_id_1332,0
geo_level_2_id_1284,0
geo_level_2_id_117,0
geo_level_2_id_1333,0
geo_level_2_id_80,0
geo_level_2_id_1336,0
geo_level_2_id_1223,0
geo_level_2_id_1337,0
geo_level_2_id_1180,0
geo_level_2_id_1179,0
geo_level_2_id_81,0
geo_level_2_id_1199,0
geo_level_2_id_79,0
geo_level_2_id_85,0
geo_level_2_id_1214,0
geo_level_2_id_1213,0
geo_level_2_id_1301,0
geo_level_2_id_1302,0
geo_level_2_id_113,0
geo_level_2_id_1303,0
geo_level_2_id_1304,0
